run_id,epoch,seg_mri,domain_loss_mri,domain_loss_us,domain_loss,weak_us,outside_loss,inside_presence_loss,area_loss,total_loss,dom_acc,bbox_in,bbox_iou,bbox_centroid_inside,predicted_area_ratio,mean_inside_prob,max_inside_prob,topk_inside_prob,val_loss,val_dice,val_hd95,val_obj_precision,val_weak_us,val_outside_loss,val_inside_presence_loss,val_area_loss,val_bbox_in,val_bbox_iou,val_bbox_centroid_inside,val_predicted_area_ratio,val_mean_inside_prob,val_max_inside_prob,val_topk_inside_prob,alpha,lambda_mri,lambda_us,lambda_domain,use_dann,weak_mode,lr_encoder,lr_decoder,lr_discriminator,target_score,steps_per_epoch,is_best,timestamp
20260526_205618,1,0.034584,0.000000,0.000000,0.000000,2.750252,0.060465,0.419505,1.850778,1.409710,0.500000,0.036734,0.012249,0.031250,1.372278,0.013762,0.053471,0.029443,0.093295,0.887573,7.2348,0.948465,1.390340,0.024865,0.437059,0.491357,0.000000,0.000000,0.000000,0.500152,0.000166,0.001564,0.000358,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-1.345961,28,1,2026-05-26 20:58:28
20260526_205618,2,0.033787,0.000000,0.000000,0.000000,1.081643,0.005221,0.428464,0.219494,0.574608,0.500000,0.024840,0.001123,0.031250,0.076936,0.004484,0.026860,0.014589,0.094599,0.887266,7.7446,0.949013,1.073208,0.003718,0.437127,0.195236,0.000000,0.000000,0.000000,0.110298,0.000146,0.001083,0.000300,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-1.028844,28,1,2026-05-26 20:58:49
20260526_205618,3,0.034516,0.000000,0.000000,0.000000,0.993170,0.001744,0.430368,0.130691,0.531101,0.500000,0.025797,0.004939,0.031250,0.010946,0.003149,0.018234,0.011489,0.097030,0.884444,7.9292,0.948575,1.020597,0.001057,0.437162,0.145215,0.000000,0.000000,0.000000,0.025409,0.000130,0.000978,0.000273,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.976374,28,1,2026-05-26 20:59:10
20260526_205618,4,0.033430,0.000000,0.000000,0.000000,0.976765,0.002288,0.426904,0.120669,0.521813,0.500000,0.000000,0.000000,0.000000,0.004672,0.006631,0.028143,0.019076,0.095449,0.886786,7.6586,0.944901,1.058106,0.001857,0.437145,0.181958,0.000000,0.000000,0.000000,0.085357,0.000132,0.001108,0.000288,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-1.013767,28,0,2026-05-26 20:59:30
20260526_205618,5,0.032438,0.000000,0.000000,0.000000,0.948886,0.002365,0.425575,0.095371,0.506881,0.500000,0.000000,0.000000,0.000000,0.003380,0.006540,0.032169,0.018978,0.094778,0.887941,7.6130,0.950932,1.074498,0.002558,0.437178,0.197584,0.000000,0.000000,0.000000,0.127793,0.000118,0.001048,0.000263,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-1.030101,28,0,2026-05-26 20:59:48
20260526_205618,6,0.035111,0.000000,0.000000,0.000000,0.948491,0.003121,0.428895,0.087580,0.509357,0.500000,0.015330,0.000380,0.031250,0.000977,0.005646,0.027325,0.016547,0.093509,0.889943,7.4640,0.948739,0.999812,0.002280,0.437195,0.123142,0.000000,0.000000,0.000000,0.068605,0.000111,0.001126,0.000250,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.955315,28,1,2026-05-26 21:00:09
20260526_205618,7,0.031887,0.000000,0.000000,0.000000,0.935404,0.002823,0.425929,0.080722,0.499589,0.500000,0.027121,0.007672,0.031250,0.072057,0.008253,0.035124,0.021913,0.090858,0.892418,7.3294,0.944901,0.987175,0.002034,0.437108,0.110926,0.000000,0.000000,0.000000,0.051518,0.000139,0.001594,0.000323,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.942554,28,1,2026-05-26 21:00:30
20260526_205618,8,0.030251,0.000000,0.000000,0.000000,0.925151,0.002598,0.424645,0.073263,0.492827,0.500000,0.031250,0.000143,0.031250,0.007616,0.007481,0.036860,0.023097,0.090585,0.892572,7.3901,0.938596,0.963791,0.001674,0.437033,0.088051,0.000000,0.000000,0.000000,0.021936,0.000161,0.001807,0.000386,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.919162,28,1,2026-05-26 21:00:50
20260526_205618,9,0.027803,0.000000,0.000000,0.000000,0.927555,0.002214,0.425879,0.073583,0.491581,0.500000,0.031250,0.009111,0.031250,0.009111,0.007267,0.034958,0.020658,0.089822,0.893287,7.5464,0.939967,0.943792,0.001597,0.436890,0.068416,0.000000,0.000000,0.000000,0.007405,0.000202,0.002466,0.000509,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.899127,28,1,2026-05-26 21:01:11
