run_id,epoch,seg_mri,domain_loss_mri,domain_loss_us,domain_loss,weak_us,outside_loss,inside_presence_loss,area_loss,total_loss,dom_acc,bbox_in,bbox_iou,bbox_centroid_inside,predicted_area_ratio,mean_inside_prob,max_inside_prob,topk_inside_prob,val_loss,val_dice,val_hd95,val_obj_precision,val_weak_us,val_outside_loss,val_inside_presence_loss,val_area_loss,val_bbox_in,val_bbox_iou,val_bbox_centroid_inside,val_predicted_area_ratio,val_mean_inside_prob,val_max_inside_prob,val_topk_inside_prob,alpha,lambda_mri,lambda_us,lambda_domain,use_dann,weak_mode,lr_encoder,lr_decoder,lr_discriminator,target_score,steps_per_epoch,is_best,timestamp
20260526_212604,1,0.033010,0.000000,0.000000,0.000000,2.415399,0.034887,0.420311,1.119578,1.240710,0.500000,0.087916,0.017707,0.093750,0.788506,0.009476,0.052250,0.028126,0.091300,0.889734,7.5740,0.951206,1.527365,0.006893,0.437054,0.209311,0.000000,0.000000,0.000000,0.112970,0.000171,0.002144,0.000361,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-1.482879,28,1,2026-05-26 21:28:21
20260526_212604,2,0.032217,0.000000,0.000000,0.000000,1.446693,0.000825,0.437112,0.134532,0.755564,0.500000,0.000000,0.000000,0.000000,0.018675,0.000147,0.001065,0.000314,0.098674,0.881983,8.5774,0.953399,1.468413,0.000239,0.437177,0.156643,0.000000,0.000000,0.000000,0.000000,0.000125,0.000925,0.000261,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-1.424314,28,1,2026-05-26 21:28:52
20260526_212604,3,0.034104,0.000000,0.000000,0.000000,1.425909,0.000354,0.434572,0.121840,0.747058,0.500000,0.000000,0.000000,0.000000,0.001946,0.000912,0.010683,0.003229,0.096016,0.885803,8.4065,0.948739,1.444999,0.000386,0.437192,0.133037,0.000000,0.000000,0.000000,0.001726,0.000118,0.000914,0.000249,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-1.400709,28,1,2026-05-26 21:29:20
20260526_212604,4,0.033267,0.000000,0.000000,0.000000,1.448314,0.002279,0.431443,0.151708,0.757424,0.500000,0.000000,0.000000,0.000000,0.027545,0.002864,0.023298,0.007926,0.092479,0.890505,7.5542,0.946546,1.413816,0.000638,0.437162,0.101692,0.000000,0.000000,0.000000,0.001697,0.000124,0.001599,0.000276,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-1.369290,28,1,2026-05-26 21:29:47
20260526_212604,5,0.031612,0.000000,0.000000,0.000000,1.404410,0.002476,0.428504,0.116421,0.733818,0.500000,0.000000,0.000000,0.000000,0.168206,0.006941,0.028620,0.015962,0.091123,0.892173,7.4974,0.947478,1.405188,0.000738,0.437150,0.093002,0.000000,0.000000,0.000000,0.000000,0.000125,0.001802,0.000288,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-1.360580,28,1,2026-05-26 21:30:14
