run_id,epoch,seg_mri,domain_loss_mri,domain_loss_us,domain_loss,weak_us,outside_loss,inside_presence_loss,area_loss,total_loss,dom_acc,bbox_in,bbox_iou,bbox_centroid_inside,predicted_area_ratio,mean_inside_prob,max_inside_prob,topk_inside_prob,val_loss,val_dice,val_hd95,val_obj_precision,val_weak_us,val_outside_loss,val_inside_presence_loss,val_area_loss,val_bbox_in,val_bbox_iou,val_bbox_centroid_inside,val_predicted_area_ratio,val_mean_inside_prob,val_max_inside_prob,val_topk_inside_prob,alpha,lambda_mri,lambda_us,lambda_domain,use_dann,weak_mode,lr_encoder,lr_decoder,lr_discriminator,target_score,steps_per_epoch,is_best,timestamp
20260526_211314,1,0.035590,0.000000,0.000000,0.000000,2.785270,0.060118,0.426058,1.873036,1.428225,0.500000,0.013935,0.012299,0.000000,2.189365,0.009183,0.037530,0.018515,0.091872,0.888760,7.1457,0.952577,1.120766,0.011162,0.437082,0.235440,0.000000,0.000000,0.000000,0.172840,0.000161,0.001505,0.000338,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-1.076328,28,1,2026-05-26 21:15:35
20260526_211314,2,0.032982,0.000000,0.000000,0.000000,1.012240,0.001076,0.432867,0.145431,0.539102,0.500000,0.000000,0.000000,0.000000,0.002538,0.001298,0.016106,0.004577,0.097390,0.883229,7.6378,0.951754,1.031855,0.000439,0.437165,0.157086,0.000000,0.000000,0.000000,0.001690,0.000130,0.000925,0.000270,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.987694,28,1,2026-05-26 21:16:04
20260526_211314,3,0.034863,0.000000,0.000000,0.000000,0.999440,0.000827,0.433906,0.130801,0.534583,0.500000,0.025127,0.003981,0.031250,0.020016,0.001042,0.010337,0.003880,0.095424,0.886241,7.8183,0.949836,1.020683,0.000516,0.437191,0.145784,0.000000,0.000000,0.000000,0.001802,0.000121,0.000790,0.000248,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.976371,28,1,2026-05-26 21:16:34
20260526_211314,4,0.034833,0.000000,0.000000,0.000000,0.983807,0.000689,0.436172,0.110773,0.526737,0.500000,0.000000,0.000000,0.000000,0.000000,0.000351,0.009752,0.001152,0.095866,0.886411,7.8148,0.944298,0.987182,0.000745,0.437241,0.111955,0.000000,0.000000,0.000000,0.001802,0.000098,0.000714,0.000210,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.942862,28,1,2026-05-26 21:17:03
20260526_211314,5,0.031470,0.000000,0.000000,0.000000,0.955276,0.001837,0.432747,0.087945,0.509108,0.500000,0.000000,0.000000,0.000000,0.000000,0.001765,0.013710,0.006819,0.094544,0.888341,7.7027,0.942270,0.950045,0.001269,0.437270,0.074237,0.000000,0.000000,0.000000,0.002136,0.000087,0.000713,0.000187,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.905628,28,1,2026-05-26 21:17:33
20260526_211314,6,0.030817,0.000000,0.000000,0.000000,0.952400,0.002024,0.432494,0.085388,0.507017,0.500000,0.016273,0.000548,0.031250,0.001541,0.001799,0.019301,0.006798,0.090380,0.893005,7.1881,0.952083,0.950273,0.001352,0.437229,0.074462,0.000000,0.000000,0.000000,0.002471,0.000099,0.001038,0.000221,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.905623,28,0,2026-05-26 21:18:02
20260526_211314,7,0.032421,0.000000,0.000000,0.000000,0.938470,0.001889,0.427226,0.082129,0.501656,0.500000,0.056815,0.015135,0.062500,0.038621,0.007058,0.026273,0.020164,0.088750,0.894582,7.0502,0.951535,0.950137,0.001444,0.437144,0.074405,0.000000,0.000000,0.000000,0.002966,0.000127,0.002217,0.000292,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.905408,28,1,2026-05-26 21:18:32
20260526_211314,8,0.030474,0.000000,0.000000,0.000000,0.987153,0.003449,0.426807,0.130091,0.524050,0.500000,0.031250,0.002983,0.031250,0.013377,0.005098,0.029224,0.017076,0.086828,0.897342,7.0868,0.947643,0.942199,0.001783,0.437091,0.066233,0.000000,0.000000,0.000000,0.003895,0.000143,0.002934,0.000337,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.897332,28,1,2026-05-26 21:19:01
20260526_211314,9,0.030131,0.000000,0.000000,0.000000,0.926565,0.001623,0.426838,0.071265,0.493414,0.500000,0.090351,0.010602,0.093750,0.010801,0.006027,0.032168,0.018120,0.084410,0.901195,6.6226,0.940789,0.950855,0.001238,0.436972,0.075672,0.000000,0.000000,0.000000,0.002009,0.000180,0.003755,0.000438,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.905796,28,0,2026-05-26 21:19:30
20260526_211314,10,0.030137,0.000000,0.000000,0.000000,0.921166,0.001593,0.426030,0.067512,0.490720,0.500000,0.031250,0.007017,0.031250,0.007017,0.007158,0.030887,0.020643,0.086665,0.898258,7.1674,0.935855,0.944732,0.001259,0.437002,0.069469,0.000000,0.000000,0.000000,0.000159,0.000171,0.002264,0.000413,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.899819,28,0,2026-05-26 21:19:59
