run_id,epoch,seg_mri,domain_loss_mri,domain_loss_us,domain_loss,weak_us,outside_loss,inside_presence_loss,area_loss,total_loss,dom_acc,bbox_in,bbox_iou,bbox_centroid_inside,predicted_area_ratio,mean_inside_prob,max_inside_prob,topk_inside_prob,val_loss,val_dice,val_hd95,val_obj_precision,val_weak_us,val_outside_loss,val_inside_presence_loss,val_area_loss,val_bbox_in,val_bbox_iou,val_bbox_centroid_inside,val_predicted_area_ratio,val_mean_inside_prob,val_max_inside_prob,val_topk_inside_prob,alpha,lambda_mri,lambda_us,lambda_domain,use_dann,weak_mode,lr_encoder,lr_decoder,lr_discriminator,target_score,steps_per_epoch,is_best,timestamp
20260526_204915,1,0.033333,0.000000,0.000000,0.000000,2.721835,0.062269,0.417765,1.855172,1.394251,0.500000,0.047588,0.008410,0.062500,1.333341,0.010794,0.057818,0.030892,0.091893,0.888905,7.4248,0.953509,1.157283,0.018518,0.437056,0.273912,0.000000,0.000000,0.000000,0.320248,0.000170,0.001633,0.000359,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-1.112837,28,1,2026-05-26 20:51:26
20260526_204915,2,0.038353,0.000000,0.000000,0.000000,1.009858,0.003671,0.428789,0.150444,0.543282,0.500000,0.016892,0.000182,0.031250,0.136976,0.003434,0.027077,0.012460,0.096293,0.884718,7.7107,0.954221,1.119398,0.005291,0.437127,0.242498,0.000000,0.000000,0.000000,0.159593,0.000144,0.001076,0.000301,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-1.075162,28,1,2026-05-26 20:51:46
20260526_204915,3,0.033692,0.000000,0.000000,0.000000,0.997339,0.002286,0.431961,0.132274,0.532362,0.500000,0.031250,0.005825,0.031250,0.007175,0.002501,0.020614,0.008084,0.096178,0.885122,7.5627,0.958333,1.080732,0.003573,0.437148,0.204650,0.000000,0.000000,0.000000,0.120544,0.000133,0.001060,0.000286,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-1.036476,28,1,2026-05-26 20:52:07
20260526_204915,4,0.033771,0.000000,0.000000,0.000000,1.019017,0.004841,0.427279,0.162038,0.543280,0.500000,0.031250,0.011792,0.031250,0.028431,0.006429,0.029176,0.017386,0.093536,0.889029,7.4970,0.952029,0.985625,0.003374,0.437175,0.109589,0.000000,0.000000,0.000000,0.028950,0.000122,0.001155,0.000264,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.941174,28,1,2026-05-26 20:52:27
20260526_204915,5,0.033427,0.000000,0.000000,0.000000,0.956957,0.003660,0.427035,0.101057,0.511906,0.500000,0.061773,0.008919,0.062500,0.014531,0.007326,0.030635,0.019383,0.092327,0.890959,7.3943,0.947368,0.959544,0.004179,0.437172,0.083110,0.000000,0.000000,0.000000,0.027484,0.000119,0.002483,0.000268,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.914996,28,1,2026-05-26 20:52:47
20260526_204915,6,0.032202,0.000000,0.000000,0.000000,0.962720,0.005409,0.426260,0.107495,0.513562,0.500000,0.000324,0.000007,0.000000,0.059563,0.004741,0.030172,0.016065,0.090311,0.893137,7.1168,0.937555,0.924872,0.007927,0.437162,0.046586,0.000000,0.000000,0.000000,0.170984,0.000118,0.005358,0.000279,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.880215,28,1,2026-05-26 20:53:07
20260526_204915,7,0.032872,0.000000,0.000000,0.000000,1.013745,0.008108,0.425502,0.158688,0.539744,0.500000,0.031250,0.011800,0.031250,0.295425,0.007170,0.032158,0.021315,0.089351,0.894560,7.1619,0.943257,0.944426,0.003995,0.437143,0.068144,0.000000,0.000000,0.000000,0.020035,0.000126,0.002831,0.000294,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.899698,28,0,2026-05-26 20:53:26
20260526_204915,8,0.031059,0.000000,0.000000,0.000000,0.909344,0.003651,0.427267,0.052985,0.485731,0.500000,0.058150,0.009928,0.062500,0.021531,0.006606,0.026487,0.019575,0.088413,0.895691,7.0833,0.946875,0.929420,0.002704,0.437202,0.053663,0.000000,0.000000,0.000000,0.006378,0.000106,0.001805,0.000244,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.884635,28,0,2026-05-26 20:53:46
20260526_204915,9,0.032457,0.000000,0.000000,0.000000,0.903663,0.003450,0.429177,0.043584,0.484288,0.500000,0.062500,0.007523,0.062500,0.011504,0.003586,0.021908,0.013507,0.088365,0.895661,7.1308,0.945724,0.924259,0.002495,0.437222,0.048568,0.000000,0.000000,0.000000,0.003573,0.000100,0.001446,0.000228,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.879476,28,1,2026-05-26 20:54:06
